Clinical Vignettes,Rationale,acuity
"“I ran out of my blood pressure medicine, and my doctor is on vacation. Can someone here write me a prescription?” requests a 56-year-old male with a history of HTN. Vital signs: BP 128/84, HR 76, RR 16, T 97˚F.","ESI level  5: No resources. The patient needs  a prescription refill and has no other medical complaints. His blood pressure is controlled with his current medication. If at triage his blood pressure was 188/124 and he complained of a headache,, then he would meet the criteria for a high-risk situation and be assigned to ESI level 2. If this patient’s BP was elevated and the patient had no complaints, he or she would remain an ESI level 5. The blood pressure would be repeated and would most likely not be  treated in the ED or treated with PO medications.",5
"A 41-year-old male involved in a bicycle accident walks into the emergency department with his right arm in a sling. He tells you that he fell off his bike and landed on his right arm. His is complaining of pain in the wrist area and has a 2-centimeter laceration on his left elbow. “My helmet saved me,” he tells you.","ESI level 3: Two or more resources. At a minimum, this patient will require an x ray of his right arm and suturing of his left elbow laceration.",3
"A 32-year-old female presents to the emergency department complaining of shortness of breath for several hours. No past medical history, +smoker. Vital signs: RR 32, HR 96, BP 126/80, SpO2 93% on room air, T 98.6˚F. No allergies, current medications include vitamins and birth control pills.","ESI level 2:  High  risk. This 32-year-old female with new-onset shortness of breath is on birth control pills. She is a smoker and is exhibiting signs and symptoms of respiratory distress (SpO2 and respiratory rate.) Based on history and signs and symptoms, a pulmonary embolus, as well as other potential causes for her respiratory distress, must be ruled out.",2
"A 60-year-old man requests to see a doctor because his right foot hurts. On exam the great toe and foot skin is red, warm, swollen, and tender to touch. He denies injury. past medical history includes type 2 diabetes, and psoriasis. Vital signs: T 99.4˚F, RR 18, HR 82, BP 146/70, SpO2 99%.","ESI level 3: Two or more resources. This patient has a significant medical history, and based on his presentation, he will require two or more resources, which could include labs and IV antibiotics.",3
"A 52-year-old female requests to see a doctor for a possible urinary tract infection (UTI). She is complaining of dysuria and frequency. She denies abdominal pain or vaginal discharge. No allergies, takes vitamins, and has no significant past medical history. Vital signs: T 97.4˚F, HR 78, RR 14, BP 142/70.","ESI level 4: One resource. She will need one resource – lab, which will include a urinalysis and urine culture. She most likely has a UTI that will be treated with oral medications.",4
"""My right breast is so sore, my nipples are cracked, and now I have a fever. Do you think I will have to stop nursing my baby?” asks a tearful 34-year-old female. She is 3 months post partum and has recently returned to work part- time. Vital signs: T 102.8˚F, HR 90, RR 18, BP 108/60, pain 5/10. No past medical history, taking multivitamins, and is allergic to penicillin.","ESI level 3: Two or more resources. At a minimum, she will require labs and IV antibiotics.",3
"EMS arrives with a 45-year-old woman with asthma who has had  a  cold  for  week.  She started wheezing a few days ago and then developed a cough and a fever of 103. Vital signs: T 101.6˚F, HR 92, RR 24, BP 148/86, SpO2 97%.","ESI level 3: Two or more resources. This history sounds more like pneumonia. Because the patient is not in acute respiratory distress, he or she doesn’t meet ESI level-2 criteria. This patient will require labs, a chest x ray, and perhaps IV antibiotics.",3
"“I think I have food poisoning,” reports an otherwise healthy 33-year-old female. “I have been vomiting all night, and now I have diarrhea.” The patient admits to abdominal cramping that she rates as 5/10. She denies fever or chills. Vital signs: T 96.8˚F, HR 96, RR 16, BP 116/74.","ESI level 3: Two or more resources. Lab studies, IV fluid, and an IV antiemetic are three of the resources this patient will require. The patient is not high risk or in severe pain or distress.",3
"“My migraine started early this morning, and I can’t get it under control. I just keep vomiting. Can I lie down somewhere?” asks a 37-year-old female. Past medical history migraines, no allergies. Pain 6/10, T 98˚F, RR 20, HR 102, BP 118/62, SpO2 98%.","ESI level 3: Two  or  more  resources.  A patient with a known history of migraines with vomiting will require pain medication, an antiemetic, and fluid replacement. The pain is not severe, 6/10. This patient is not high risk.",3
"""The smoke was so bad; I just couldn’t breathe.” reports a 26-year-old female who entered her burning apartment building to try to rescue her cat. She is hoarse and complaining of a sore throat and a cough. You notice that she is working hard at breathing. History of asthma; uses inhalers when needed. No known drug allergies. Vital signs: T 98˚F, RR 40, HR 114, BP 108/74. ","ESI  level  1:  Requires   immediate lifesaving intervention. From the  history and presentation, this patient appears to have a significant airway injury and will require immediate intubation. Her respiratory rate is 40, and she is in respiratory distress.",1
"“I’m 7 weeks pregnant, and every time I try to eat something, I throw up,” reports a 27-year- old female. “My doctor sent me to the emergency department because he thinks I am getting dehydrated. T 97˚F, RR 18, HR 104, BP 104/68, SpO2 99%. Pain 0/10. Lips are dry and cracked.","ESI level 3: Two or more resources. Lab studies, IV fluid, and an IV antiemetic are three of the resources this patient will require. She is showing signs of dehydration.",3
"“I have this aching pain in my left leg,” reports an obese 52-year-old female. “The whole ride home, it just ached and ached.” The patient  tells you that she has been sitting in a car for the last 2 days. “We drove my daughter to college, and I thought it was the heat getting to me.” She denies any other complaints. Vital signs: BP 148/90, HR 86, RR 16, T 98˚F.","ESI level 3: Two or more resources. At a minimum, she will require labs and noninvasive vascular studies of her lower leg. She should be placed in a wheelchair with her leg elevated and instructed not to walk until the doctor has seen her.",3
"EMS arrives with an 87-year-old male who fell and hit his head. He is awake, alert, and oriented and remembers the fall. He has a past medical history of atrial fibrillation and is on multiple medications, including warfarin. His vital signs are within normal limits.","ESI level 2: High risk. Patients taking warfarin who fall are at high risk of internal bleeding. Although the patients’ vital signs are within normal limits and he shows no signs of a head injury, he needs a prompt evaluation and a head CT.",2
"“I just need another prescription for pain medication. I was here 10 days ago and ran out,” a 27-year-old male tells you. “I hurt my back at work, and it’s still bothering me.”  Denies numbness, tingling, or bladder or bowel issues. Vital signs are within normal limits. Pain 10+/10.","ESI level 5: No resources. No resources are required. Following a physical exam, this patient will be sent home with appropriate discharge instructions and a prescription if indicated.",5
"EMS arrives with a 32-year-old female who fell off a stepladder while cleaning her first-floor gutters. She has an obvious open fracture of her right lower leg. She has +2 pedal pulse. Her toes are warm, and she is able to wiggle them.  Denies past medical history medications, or allergies. Vital signs are within normal limits for her age.","ESI level 3: Two or more resources. An obvious open fracture will necessitate this patient going to the operating room. At a minimum, she will need the following resources: x ray, lab, IV antibiotics, and IV pain medication.",3
"A 27-year-old female wants to be checked by a doctor. She has been experiencing low abdominal pain (6/10) for about 4 days. This morning, she began spotting.  She denies nausea, vomiting, diarrhea, or urinary symptoms. Her last menstrual period was 7 weeks ago. past medical history: previous ectopic pregnancy. Vital signs: T.98˚F, HR 66, RR 14, BP 106/68.","ESI level 3: Two or more  resources.  Based on her history, this patient will require two or more resources – lab and an ultrasound. She may in fact be pregnant. Ectopic pregnancy is on the differential diagnosis list, but this patient is currently hemodynamically stable, and her pain is generalized across her lower abdomen.",3
"“My right leg is swollen, and my calf hurts,” reports a 47-year-old morbidly obese female sitting in a motorized scooter. The patient denies chest pain or shortness of breath, but admits to a history of type 2 diabetes and HTN. Vital signs: T 98˚F, RR 24, HR 78, BP 158/82, SpO2 98%. Pain 6/10.","ESI level 3: Two or more resources. This patient is at high risk for a deep vein thrombosis. For diagnostic purposes, she will require two resources: labs and a Doppler ultrasound. If a deep vein thrombosis is confirmed, she will require additional resources – remember,  ESI level  3 is two or more resources. If this patient were short of breath or had chest pain, they would meet ESI level-2 criteria.",3
EMS presents with a 54-year-old female with chronic renal failure who did not go to dialysis yesterday because she was feeling too weak. She tells you to look in her medical record for a list of her current medications and past medical history. Her vital signs are all within normal limits.,"ESI level 2: High risk. A complaint of weakness can be due to a variety of conditions, such as anemia or infection. A dialysis patient who misses a treatment is at high risk for hyperkalemia or other fluid and electrolyte problems. This is a patient who cannot wait to be seen and should be given your last open bed.",2
"68-year-old female presents to the ED with her right arm in a sling. She was walking out to the mailbox and slipped on the ice. “I put my arm out to break my fall. I was lucky I didn’t  hit my head.” Right arm with good circulation, sensation, and movement, obvious deformity noted. past medical history: arthritis, medications, ibuprofen, No known drug allergies. Vital signs within normal limits. She rates her pain as 6/10.","ESI  level  3:  Two   or  more  resources.  It looks like this patient has a displaced fracture and will need to have a closed reduction prior to casting or splinting. At a minimum, she needs x rays and an orthopedic consult. Her vital signs are stable, so there is no need to up- triage her to an ESI level 2. Her pain is currently 6/10. If ",3
"“It hurts so much when I urinate,” reports an otherwise healthy 25-year-old. She denies fever, chills, abdominal pain, or vaginal discharge. Vital signs: T 98.2˚F, HR 66, RR 14, BP 114/60.","ESI level 4: One resource. This patient will require one resource – lab. A urinalysis and urine culture will be sent, and depending on your institution, a urine pregnancy test. One or all of these tests count as one resource.",4
"26-year-old female is transported by EMS to the ED because she experienced the sudden onset of a severe headache that began after she moved her bowels. She is 28 weeks pregnant. Her husband tells you that she is healthy, takes only prenatal vitamins, and has no allergies.  On arrival in the ED, the patient is moaning and does not respond to voice. Emergency medical technicians (EMTs) tell you that she vomited about 5 minutes ago.","ESI  level  1:  Requires  immediate lifesaving intervention. From the history, it sounds like this patient has suffered some type of head bleed. She is currently unresponsive to voice and could be showing signs of increased intracranial pressure. She may not be able to protect her own airway and may need to be emergently intubated",1
"“I think I’m having a stroke,” reports an  anxious 40-year-old female. “I looked in the mirror this morning, and the corner of my mouth is drooping and I can’t close my left eye. You have to help me, please.” No past medical history, no meds. Vital signs all within normal limits.",ESI level 2: High risk. Facial droop is one of the classic signs of a stroke. This patient needs to be evaluated by the stroke team and have a head CT within minutes of arrival in the ED. Many nurses want to make all stroke alerts an ESI level 1. This patient does not meet level 1 criteria as she does not require immediate lifesaving. interventions. The triage nurse needs to facilitate moving this patient into the treatment area and initiate the stroke alert process,2
"An 88-year-old female is brought to the ED by EMS. This morning, she had an episode of slurred speech and weakness of  her  left  arm that lasted about 45 minutes. She has a history  of a previous stroke, and she takes an aspirin every day. She is alert and oriented with clear speech and equal hand grasps.","ESI level 2: High-risk situation. The patient’s history indicates that she may have had a transient ischemic attack this morning. The patient is high risk, and it would not be safe for her to sit in the waiting room for an extended period of time.",2
"“It is like I have my period. I went to the bathroom, and I am bleeding. This is my first pregnancy, and I am scared. Do you think everything is OK?” asks a 26-year-old healthy female. Vital signs: BP 110/80, HR 72, RR 18, SpO2 99%, T 98.6˚F. She describes the pain as crampy, but rates it as “1” out of 10.","ESI level 3: Two or more  resources.  Based on her history, this patient will require two or more resources – labs, an ultrasound. On the differential diagnosis list is a spontaneous abortion. Currently, she is hemodynamically stable and has minimal cramping or pain.",3
"“I suddenly started bleeding and passing clots the size of oranges,” reports a pale 34-year-old who is 10 days post partum. “I never did this with my other two pregnancies. Can I lie down before I pass out?” Vital signs: BP 86/40, HR 132, RR 22, SpO2 98%.","ESI  level  1:  Requires   immediate lifesaving intervention. This patient is presenting with signs and symptoms of a post partum hemorrhage. She tells you she is going to pass out, and her vital signs reflect her fluid volume deficit. The patient needs immediate IV access and aggressive fluid resuscitation.",1
"I have had a cold for a few days, and today I started wheezing. When this happens, I just need one of those breathing  treatments,” reports a 39-year-old female with a history of asthma. T 98˚F, RR 22, HR 88, BP 130/80, SpO2 99%, No meds, no allergies.",ESI level 4: One resource. This patient will need a hand-held nebulizer treatment for her wheezing. No labs or x ray should be necessary because the patient does not have a fever.,4
"A 58-year-old male collapsed while shoveling snow. Bystander CPR was started immediately; he was defibrillated once by the paramedics with the return of a perfusing rhythm. The hypothermic cardiac arrest protocol was initiated prehospital, and he presents with cold normal saline infusing.","ESI  level  1:  Requires   immediate lifesaving intervention. Studies have shown that lowering brain temperature post cardiac arrest decreases ischemic damage. This patient requires immediate lifesaving interventions to airway, breathing, circulation, and neurologic outcome. Even though the patient converted to a stable rhythm, the nurse should anticipate that additional lifesaving interventions might be necessary.",1
"“My doctor told me to come to the ED. I had a gastric bypass 3 weeks ago and have been doing fine, but today I started vomiting and having this belly pain.” The patient, an obese 33-year- old female, rates her pain as 6/10. Vital signs: BP 126/70, HR 76, RR 14, T 98˚F.","ESI level 3:  Two  or  more  resources.  She will need two or more resources – laboratory tests, IV fluid, medication for her nausea, and probably a CT of her abdomen. This patient will be in your emergency department an extended period of time being evaluated. If her pain was 10/10 and she was tachycardic, the patient would meet the ESI level-2 criteria.",3
"“I had a baby 5 weeks ago, and I am just exhausted. I have seen my doctor twice, and he told  me I wasn’t anemic.  I climb  the stairs,  and  I am so short of breath when I  get  to  the  top that I have to sit down, and now my ankles are swollen.  What  do  you  think  is  wrong  with me?” asks a 23-year-old obese female.","ESI level 2: High risk. This patient is describing more than just the fatigue or anemia. This patient could be describing the classic symptoms of a low-volume but high-risk situation – peripartum cardiomyopathy, a form of cardiomyopathy that occurs in the last month of pregnancy and up to 5 months post- partum. There is a decrease in the left ventricular ejection fraction which causes congestive heart failure.",2
"76-year-old male requests to see a doctor because his toenails are hard. Upon further questioning, the triage nurse ascertains that the patient is unable to cut his own toenails. He denies any breaks in the skin or signs of infection. He has a history of chronic obstructive pulmonary disease and uses several metered-dose inhalers. His vital signs are normal for his age.",ESI level 5: No resources. This elderly gentleman has such brittle toenails that he is no longer able to clip them himself. He requires a brief exam and an outpatient referral to a podiatrist.,5
"EMS arrives with a 42-year-old male who called 911 because of dizziness and  nausea  every  time he tries to move. The patient states, “I feel okay when I lie perfectly still, but if I start to sit up,  turn over, or move my head, the room starts to spin and I have to throw up.” No past medical history. Vital signs: T 97.2˚F, RR 16, HR 90, BP 130/82, SpO2 99%. Pain 0/10.","ESI level 3: Two or more  resources.  Based on the history, this patient may have acute labyrinthitis and will require two or more resources – IV fluids and an IV antiemetic.",3
"“My wife called 911 because my internal defibrillator gave me a shock this morning when I was eating breakfast. Really scared me! I saw my doctor a few days ago, and he changed some of my medications. Could that be why  that happened?” The patient has a significant cardiac history and reports taking multiple medications, including amiodarone. Vital signs: T 98.5˚F, RR 20, HR 90, BP 120/80.","ESI level 2: High risk. This patient is not someone who should sit in your waiting room. He does not meet the criteria for ESI level 1, but he meets the criteria for ESI level 2. The patient’s internal defibrillator fired for some reason and needs to be evaluated.",2
"“Nurse, I have this pressure in my chest that started about an hour ago. I was shoveling that wet snow, and I may have overdone  it,” reports  an obese 52-year-old male. He tells  you his pain  is 10 out of 10 and  that  he  is  nauseous  and short of breath. His skin is  cool  and  clammy. Vital signs: BP 86/50, HR 52 and irregular.","ESI  level  1:  Requires  immediate lifesaving intervention. The history combined with the signs and symptoms indicate that this patient is probably having an MI. The “pressure” started after shoveling wet snow, and now he is nauseous and short of breath, and his skin is cool and clammy. He needs immediate IV access, the administration of medications, and external pacing pads in place.",1
"“My sister has metastatic breast cancer, and her doctor suggested that I bring her in today to have more fluid drained off her lungs.” The fluid buildup is making it harder for her to breathe. The patient is a cachectic 42-year-old female on multiple medications. Vital signs: T 98.6˚F, RR 34, SpO2 95%, HR 92, BP 114/80.",ESI level 2: High risk. Breast cancer can metastasize to the lungs and can cause a pleural effusion. The collection of fluid in the pleural space leads to increasing respiratory distress as evidenced by the increased respiratory rate and work of breathing.,2
"A 58-year-old male presents to the emergency department complaining of left lower-quadrant abdominal pain for 3 days. He denies nausea, vomiting, or diarrhea. No change in appetite. past medical history HTN. Vital signs: T 100˚F, RR 18, HR 80, BP 140/72, SpO2 98%. Pain 5/10.","ESI level 3: Two or more resources. Abdominal pain in a 58-year-old male will require two or more resources. At a minimum, he will need labs and an abdominal CT.",3
"“This 84-year-old male passed out in the bathroom,” reports  the local paramedics. “When we arrived he was in a third-degree  heart block with a rate in the 20s and a blood pressure in the 60s. We began externally pacing him at a rate of 60 with an MA in the 50s. He is now alert, oriented, and asking to see his wife.”","ESI level 1:  Requires  immediate lifesaving intervention. The patient is in third-degree heart block and requires external pacing to preserve airway, breathing, and circulation.",1
"A-25-year-old  female  presented  to  the emergency department  because  of  moderate lower abdominal pain with a  fever  and  chills. Two days ago, the patient had a therapeutic abortion at a local clinic. The patient reports minimal vaginal bleeding, Vital signs: T 100.8˚F, RR 20, HR 92, BP 118/80, SpO2 99%. Pain 5/10.","ESI level 3: Two or more  resources.  Based on the history, this patient will require at a minimum labs and IV antibiotics. In addition she may need a gyn consult and IV pain medication.",3
"“I was at a family reunion, and we were playing baseball. One of my nephews hit the ball so hard, and I tried to catch it, missed, and it hit me right in the eye. My vision is fine. It just hurts,” reports a 34-year-old healthy female. Vital signs are within normal limits. There are no obvious signs of trauma to the globe, only redness and swelling in the periorbital area. The patient denies loss of consciousness.","ESI level 4: One resource. The history is suggestive of an orbital fracture. The patient will require one resource – an x ray. She will need a visual acuity check and eye evaluation, but these are not ESI resources.",4
"A 76-year-old male is brought to the ED because of severe abdominal pain. He tells you, “It feels like someone is ripping me apart.” The pain began about 30 minutes prior to admission, and he rates the intensity as 20/10. He has HTN, for which he takes a diuretic. No allergies. The patient is sitting in a wheelchair moaning in pain. His skin is cool and diaphoretic. Vital signs: HR 122, BP 88/68, RR 24, SPO2 94%.","ESI  level  1:  Requires   immediate lifesaving intervention. The patient is presenting with signs of shock--hypotensive, tachycardic, with decreased peripheral perfusion. He has a history of HTN and is presenting with signs and symptoms that could be attributed to a dissecting aortic abdominal aneurysm. He needs immediate IV access, aggressive fluid resuscitation, and perhaps blood prior to surgery.",1
"The patient states that she is 6 weeks post laparoscopic gastric bypass. Two days ago, she began to have abdominal pain with nausea and vomiting of pureed food. She reports a decrease in her fluid intake and not being able to take her supplements because of vomiting. Vital signs: T 97.8˚F, RR 20, HR 90, BP 110/70, SpO2 99%. Pain 4/10.","ESI level 3: Two or more resources. Abdominal pain and vomiting post gastric bypass needs to be evaluated. This patient needs labs, IV, antiemetics, and a CT.",3
A 26-year-old female walks into the triage room and tells you she needs to go into detox again. She has been clean for 18 months but started using heroin again 2 weeks ago when her boyfriend broke up with her. She had called several detox centers but was having no luck finding a bed. She denies suicidal or homicidal ideation. She is calm and cooperative,"ESI level 4: One resource. This patient is seeking help finding a detoxification program that will help her. She is not a danger to herself or others. The social worker or psychiatric counselor should be consulted to assist her. Once a placement has been found, she can be discharged from the emergency department and can get herself to the outpatient program. If your social worker or psychiatric counselor requires a urine toxicology or other lab work, the patient will require two or more resources and then meet ESI level-3 criteria.",4
"“My doctor told me to come to the ED. He thinks my hand is infected,” a 76-year-old female with arthritis, chronic renal failure, and diabetes tells you. She has an open area on the palm of her hand that is red, tender, and swollen. She hands you a list of her medications and reports that she has no allergies. She is afebrile. Vital signs: HR 72, RR 16, BP 102/60","ESI level 3: Two or more resources. This patient has a complex medical history and presented with an infected hand. At a minimum she will need labs, an IV, and IV antibiotics to address her presenting complaint. Her vital signs are normal, so there is no reason to up-triage her to ESI level 2.",3
"“My dentist can’t see me until Monday, and my tooth is  killing  me.  Can’t  you  give  me something for the pain?” a healthy 38-year-old male asks the triage nurse. He tells you the pain started yesterday, and  he  rates  his  pain  as 10/10. No obvious facial swelling  is  noted. Allergic to penicillin. Vital signs:  T  99.8˚F,  HR 78, RR 16, BP 128/74.","ESI level 5. No resources. No resources should be necessary. He will require a physical exam, but without signs of an abscess or cellulitis, this patient will be referred to a dentist. In the ED, he may be given oral medications and prescriptions for antibiotics and/or pain medication. He is not an ESI level 2, even though he rates his pain as 10/10. Based on the triage assessment, he would not be given the last open bed.",5
